#Públicos / Clásicos
Solo Dust2	45.235.98.59:27015
Solo Dust2 II	45.235.98.50:27015
Solo Dust2 Clásico	45.235.98.62:27015
Solo Público II	45.235.98.65:27015
Solo Público III	45.235.99.18:27015
Solo Clásico II	45.235.98.62:27017
Clásico	45.235.98.48:27044
Público	45.235.98.67:27015
#Mapas
Solo Dust2 HALO	45.235.98.40:27015
Solo Inferno	45.235.98.61:27019
Solo Inferno II	45.235.98.74:27015
Solo Inferno Clásico	45.235.98.66:27015
Solo Aztec	45.235.98.59:27021
Solo Dust2 MA & Largo	45.235.98.69:27015
Solo Mirage	45.235.98.44:27015
Assault	45.235.98.42:27015
Solo Iceworld	45.235.98.59:27017
Solo Pool Day	45.235.98.59:27023
#Modos de Juego
Solo AWP	45.235.98.59:27014
Deathmatch	45.235.98.59:27025
GunGame	45.235.98.50:27034
Capture The Flag	45.235.98.62:27016
#Competitivos
Automix I	45.235.98.59:27019
Automix II	45.235.99.18:27023
2 vs 2	45.235.98.42:27045
3 vs 3	45.235.98.50:27024
